,age,education,race,sex
2752,53,7th-8th,White,Male
2753,43,Bachelors,White,Male
2754,80,7th-8th,White,Male
2755,24,Some-college,White,Female
2756,43,Masters,White,Male
2757,22,HS-grad,White,Male
2758,40,Some-college,Black,Male
2759,48,HS-grad,White,Male
2760,56,HS-grad,White,Male
2761,34,11th,White,Male
2762,51,HS-grad,White,Male
2763,24,HS-grad,White,Female
2764,19,HS-grad,White,Female
2765,34,Some-college,White,Female
2766,24,HS-grad,White,Male
2767,41,Bachelors,White,Male
2768,24,HS-grad,White,Female
2769,22,Some-college,White,Male
2770,32,Some-college,White,Female
2771,41,Bachelors,White,Female
2772,20,Some-college,White,Male
2773,31,HS-grad,Black,Male
2774,55,Bachelors,White,Male
2775,49,Doctorate,Black,Male
2776,26,Bachelors,White,Male
2777,27,HS-grad,White,Male
2778,35,HS-grad,White,Female
2779,40,HS-grad,White,Male
2780,59,Some-college,White,Male
2781,61,Some-college,White,Male
2782,31,HS-grad,Black,Female
2783,43,Masters,White,Male
2784,61,5th-6th,Black,Male
2785,54,Assoc-acdm,White,Female
2786,30,Some-college,White,Male
2787,20,Some-college,White,Female
2788,27,Masters,White,Female
2789,44,Some-college,White,Male
2790,64,Some-college,White,Female
2791,55,HS-grad,White,Female
2792,34,HS-grad,White,Male
2793,61,HS-grad,White,Female
2794,28,Bachelors,White,Male
2795,34,HS-grad,Black,Female
2796,47,Prof-school,White,Male
2797,26,Bachelors,White,Male
2798,35,11th,Amer-Indian-Eskimo,Male
2799,36,Bachelors,White,Male
2800,47,Bachelors,White,Male
2801,17,11th,Black,Female
2802,35,Some-college,White,Male
2803,33,Masters,White,Male
2804,25,Assoc-acdm,White,Female
2805,18,10th,White,Male
2806,47,Masters,White,Male
2807,44,HS-grad,Black,Female
2808,41,HS-grad,White,Female
2809,30,Bachelors,White,Female
2810,53,Some-college,White,Male
2811,53,HS-grad,Black,Female
2812,40,HS-grad,White,Female
2813,24,Some-college,White,Male
2814,27,Bachelors,White,Male
2815,50,5th-6th,White,Male
2816,36,11th,White,Male
2817,41,1st-4th,White,Male
2818,41,Masters,White,Female
2819,31,HS-grad,White,Female
2820,32,Bachelors,White,Male
2821,22,Some-college,White,Male
2822,22,10th,White,Male
2823,18,12th,White,Male
2824,39,Bachelors,Black,Male
2825,38,HS-grad,White,Female
2826,35,HS-grad,White,Male
2827,23,Some-college,White,Male
2828,54,Bachelors,White,Male
2829,36,Masters,White,Male
2830,63,HS-grad,White,Male
2831,39,Some-college,White,Male
2832,57,Some-college,White,Male
2833,58,Prof-school,White,Male
2834,29,Bachelors,Asian-Pac-Islander,Female
2835,17,11th,White,Female
2836,40,HS-grad,White,Male
2837,69,Some-college,White,Female
2838,28,10th,White,Female
2839,38,9th,White,Male
2840,44,Prof-school,White,Male
2841,45,Prof-school,Black,Female
2842,33,Bachelors,Black,Male
2843,41,Some-college,White,Male
2844,37,HS-grad,White,Male
2845,50,Some-college,White,Male
2846,48,Bachelors,White,Male
2847,26,HS-grad,Black,Female
2848,36,Some-college,White,Male
2849,21,Some-college,White,Female
2850,37,Assoc-acdm,White,Male
2851,20,Some-college,White,Female
2852,54,HS-grad,White,Female
2853,28,HS-grad,White,Female
2854,27,Some-college,White,Male
2855,33,Assoc-voc,Black,Female
2856,46,HS-grad,White,Male
2857,28,11th,White,Female
2858,17,10th,White,Male
2859,40,Prof-school,White,Male
2860,47,Masters,White,Male
2861,44,1st-4th,White,Female
2862,25,12th,White,Male
2863,35,Bachelors,White,Male
2864,29,Some-college,White,Female
2865,30,HS-grad,White,Male
2866,30,Some-college,White,Male
2867,56,7th-8th,White,Female
2868,25,Bachelors,White,Male
2869,28,HS-grad,Black,Male
2870,43,9th,White,Male
2871,47,HS-grad,White,Male
2872,46,Bachelors,White,Male
2873,41,Masters,White,Female
2874,38,Assoc-acdm,White,Female
2875,29,HS-grad,Black,Male
2876,25,5th-6th,White,Male
2877,56,11th,White,Male
2878,31,7th-8th,White,Male
2879,22,11th,White,Male
2880,31,HS-grad,White,Male
2881,28,Some-college,White,Female
2882,53,Bachelors,Black,Male
2883,45,Masters,White,Female
2884,71,Preschool,Black,Male
2885,65,HS-grad,White,Female
2886,39,HS-grad,White,Male
2887,19,HS-grad,White,Female
2888,34,Bachelors,White,Female
2889,36,HS-grad,White,Male
2890,40,HS-grad,White,Female
2891,90,Some-college,White,Female
2892,56,Prof-school,White,Male
2893,21,HS-grad,White,Female
2894,48,Bachelors,White,Male
2895,45,Some-college,White,Female
2896,46,HS-grad,White,Male
2897,64,10th,White,Female
2898,29,Masters,Asian-Pac-Islander,Male
2899,22,HS-grad,White,Female
2900,47,HS-grad,White,Male
2901,67,Bachelors,White,Male
2902,43,HS-grad,White,Male
2903,42,Some-college,White,Male
2904,31,Some-college,White,Male
2905,53,11th,White,Female
2906,81,9th,Black,Female
2907,33,HS-grad,White,Female
2908,17,12th,White,Female
2909,55,Prof-school,White,Male
2910,28,HS-grad,White,Male
2911,24,Some-college,White,Female
2912,40,HS-grad,White,Female
2913,30,Masters,White,Female
2914,24,11th,White,Female
2915,26,Masters,White,Female
2916,38,Some-college,White,Female
2917,30,HS-grad,White,Male
2918,33,Bachelors,White,Male
2919,40,HS-grad,White,Male
2920,63,HS-grad,White,Male
2921,23,7th-8th,White,Male
2922,56,HS-grad,Black,Male
2923,42,Assoc-voc,White,Male
2924,40,HS-grad,White,Male
2925,49,Assoc-acdm,White,Female
2926,35,HS-grad,Asian-Pac-Islander,Male
2927,52,HS-grad,Black,Female
2928,28,Bachelors,White,Female
2929,35,10th,White,Male
2930,21,Some-college,White,Female
2931,43,HS-grad,White,Male
2932,32,Assoc-voc,White,Female
2933,29,Prof-school,White,Male
2934,23,Bachelors,White,Male
2935,50,Some-college,White,Male
2936,34,Some-college,Black,Male
2937,19,HS-grad,White,Male
2938,47,11th,Black,Female
2939,37,Some-college,White,Male
2940,25,HS-grad,Black,Female
2941,75,Some-college,White,Male
2942,24,HS-grad,White,Male
2943,28,Bachelors,Asian-Pac-Islander,Male
2944,17,11th,White,Female
2945,31,HS-grad,Black,Male
2946,31,Preschool,White,Female
2947,18,HS-grad,White,Male
2948,45,Bachelors,White,Male
2949,31,HS-grad,White,Male
2950,27,Bachelors,White,Male
2951,48,Some-college,Black,Female
2952,22,HS-grad,White,Female
2953,34,Bachelors,Black,Male
2954,26,HS-grad,Black,Female
2955,53,Some-college,White,Male
2956,60,Bachelors,White,Male
2957,49,Masters,White,Female
2958,40,Some-college,White,Female
2959,48,10th,White,Male
2960,23,Bachelors,White,Male
2961,68,7th-8th,Black,Male
2962,42,Assoc-voc,White,Male
2963,37,HS-grad,White,Male
2964,27,HS-grad,White,Female
2965,38,Some-college,White,Male
2966,27,HS-grad,White,Male
2967,75,HS-grad,White,Female
2968,49,Bachelors,White,Male
2969,27,Some-college,White,Male
2970,36,Bachelors,White,Male
2971,36,Bachelors,White,Male
2972,35,HS-grad,White,Male
2973,36,HS-grad,White,Male
2974,53,11th,Black,Male
2975,27,Some-college,Black,Female
2976,34,HS-grad,White,Male
2977,61,Some-college,White,Male
2978,29,HS-grad,White,Male
2979,40,Some-college,Black,Female
2980,37,Masters,White,Male
2981,22,9th,White,Male
2982,43,Some-college,White,Male
2983,55,HS-grad,White,Male
2984,28,Some-college,White,Female
2985,23,Bachelors,White,Female
2986,64,11th,Black,Male
2987,46,Some-college,White,Male
2988,29,Some-college,White,Male
2989,44,Masters,Asian-Pac-Islander,Male
2990,20,Some-college,White,Male
2991,62,Some-college,White,Male
2992,49,Assoc-voc,White,Female
2993,29,10th,Amer-Indian-Eskimo,Female
2994,35,Bachelors,White,Male
2995,39,11th,White,Male
2996,39,Bachelors,White,Male
2997,37,HS-grad,White,Female
2998,38,HS-grad,White,Male
2999,72,HS-grad,White,Male
3000,31,7th-8th,White,Male
3001,55,7th-8th,White,Male
3002,38,Some-college,White,Female
3003,33,Some-college,White,Female
3004,25,Assoc-acdm,White,Female
3005,19,Some-college,White,Male
3006,37,Assoc-voc,White,Female
3007,49,Some-college,White,Male
3008,26,HS-grad,White,Male
3009,35,HS-grad,White,Male
3010,44,HS-grad,White,Female
3011,37,Masters,White,Male
3012,42,Bachelors,White,Male
3013,64,Doctorate,White,Female
3014,28,HS-grad,White,Male
3015,35,HS-grad,White,Male
3016,40,Bachelors,White,Male
3017,55,Bachelors,White,Male
3018,21,HS-grad,White,Male
3019,49,Some-college,Black,Female
3020,51,Doctorate,White,Male
3021,57,Prof-school,Asian-Pac-Islander,Male
3022,51,Bachelors,White,Male
3023,38,10th,Black,Male
3024,24,HS-grad,White,Female
3025,45,HS-grad,White,Male
3026,28,HS-grad,White,Male
3027,42,Prof-school,White,Male
3028,22,Some-college,White,Male
3029,28,Masters,White,Male
3030,60,HS-grad,White,Female
3031,31,HS-grad,White,Female
3032,47,Some-college,White,Male
3033,40,HS-grad,White,Male
3034,30,HS-grad,White,Male
3035,61,Masters,White,Male
3036,71,Bachelors,White,Female
3037,42,HS-grad,White,Female
3038,44,12th,White,Male
3039,46,Some-college,White,Male
3040,50,Prof-school,Black,Female
3041,27,Bachelors,White,Male
3042,40,Assoc-voc,White,Male
3043,21,Some-college,White,Female
3044,25,HS-grad,White,Male
3045,61,5th-6th,White,Male
3046,54,Some-college,White,Male
3047,31,Bachelors,White,Male
3048,53,Some-college,White,Male
3049,39,Assoc-acdm,White,Male
3050,57,Prof-school,White,Male
3051,48,Bachelors,White,Female
3052,30,Some-college,White,Male
3053,35,HS-grad,White,Male
3054,42,HS-grad,White,Male
3055,34,HS-grad,White,Male
3056,59,HS-grad,White,Male
3057,69,10th,White,Male
3058,29,Some-college,White,Female
3059,40,HS-grad,White,Male
3060,21,Some-college,White,Male
3061,40,Assoc-acdm,White,Female
3062,43,Some-college,White,Male
3063,36,HS-grad,White,Male
3064,41,HS-grad,Asian-Pac-Islander,Male
3065,72,HS-grad,White,Male
3066,20,Some-college,White,Male
3067,41,Bachelors,White,Female
3068,34,Some-college,White,Male
3069,48,11th,Black,Female
3070,27,HS-grad,White,Female
3071,35,Some-college,White,Male
3072,28,HS-grad,Black,Male
3073,27,HS-grad,Black,Male
3074,20,Some-college,White,Male
3075,18,Some-college,White,Female
3076,32,Bachelors,White,Male
3077,38,Masters,White,Male
3078,23,Some-college,White,Male
3079,28,Bachelors,White,Male
3080,40,Prof-school,White,Male
3081,35,HS-grad,White,Female
3082,74,Some-college,White,Male
3083,28,HS-grad,White,Male
3084,23,Some-college,White,Male
3085,20,Some-college,White,Male
3086,44,HS-grad,Black,Female
3087,46,HS-grad,White,Female
3088,20,Some-college,White,Male
3089,51,Bachelors,White,Male
3090,40,Some-college,White,Female
3091,48,Prof-school,White,Male
3092,60,9th,White,Male
3093,48,Bachelors,White,Male
3094,46,Bachelors,White,Female
3095,48,Bachelors,White,Male
3096,22,HS-grad,Black,Female
3097,24,Bachelors,White,Female
3098,45,Some-college,White,Female
3099,18,12th,White,Female
3100,39,HS-grad,White,Male
3101,65,HS-grad,White,Male
3102,22,Some-college,White,Female
3103,20,Some-college,White,Female
3104,28,Some-college,White,Male
3105,46,Prof-school,White,Male
3106,42,Bachelors,White,Male
3107,61,Doctorate,White,Male
3108,28,Some-college,White,Male
3109,18,Some-college,White,Female
3110,24,Bachelors,Asian-Pac-Islander,Male
3111,45,Doctorate,White,Male
3112,24,HS-grad,White,Male
3113,44,Bachelors,White,Male
3114,20,Some-college,White,Male
3115,35,Some-college,White,Male
3116,52,Bachelors,White,Male
3117,25,Assoc-acdm,White,Male
3118,19,5th-6th,White,Male
3119,35,Bachelors,White,Male
3120,54,Some-college,White,Female
3121,21,Some-college,White,Male
3122,26,HS-grad,White,Female
3123,42,Assoc-voc,White,Female
3124,19,Some-college,White,Female
3125,55,Masters,White,Male
3126,44,HS-grad,White,Male
3127,25,Bachelors,White,Male
3128,26,Some-college,White,Male
3129,64,Assoc-acdm,White,Female
3130,41,11th,Other,Female
3131,25,Some-college,Black,Male
3132,43,Some-college,White,Male
3133,45,HS-grad,White,Male
3134,48,Bachelors,White,Male
3135,60,HS-grad,White,Male
3136,45,Some-college,White,Male
3137,51,10th,White,Male
3138,37,HS-grad,White,Female
3139,22,Some-college,White,Male
3140,44,HS-grad,White,Male
3141,27,HS-grad,White,Male
3142,47,HS-grad,White,Male
3143,32,Masters,Black,Male
3144,40,Bachelors,White,Male
3145,41,HS-grad,White,Male
3146,32,10th,White,Female
3147,26,Bachelors,White,Female
3148,47,Some-college,Asian-Pac-Islander,Male
3149,55,HS-grad,White,Male
3150,38,HS-grad,White,Male
3151,24,Bachelors,White,Male
3152,64,Doctorate,White,Male
3153,56,Bachelors,White,Male
3154,41,HS-grad,White,Male
3155,33,HS-grad,White,Male
3156,33,Prof-school,White,Male
3157,21,Some-college,White,Male
3158,59,HS-grad,Black,Male
3159,58,Assoc-voc,White,Male
3160,43,Masters,White,Male
3161,21,HS-grad,Black,Male
3162,45,HS-grad,White,Male
3163,53,HS-grad,White,Female
3164,41,Prof-school,White,Male
3165,27,10th,White,Female
3166,53,Some-college,White,Male
3167,38,Masters,White,Male
3168,31,Bachelors,White,Male
3169,41,HS-grad,White,Male
3170,22,Some-college,White,Female
3171,43,Masters,White,Male
3172,41,Some-college,White,Male
3173,27,Some-college,White,Female
3174,41,Some-college,White,Male
3175,36,Prof-school,White,Male
3176,49,Bachelors,White,Female
3177,20,HS-grad,White,Male
3178,58,HS-grad,White,Female
3179,35,12th,Black,Female
3180,30,HS-grad,White,Male
3181,21,HS-grad,White,Male
3182,29,Assoc-acdm,White,Male
3183,40,HS-grad,White,Female
3184,54,Bachelors,Asian-Pac-Islander,Female
3185,35,Bachelors,White,Male
3186,35,Bachelors,White,Male
3187,40,Bachelors,White,Female
3188,59,HS-grad,Black,Female
3189,43,Some-college,White,Male
3190,39,10th,White,Male
3191,51,7th-8th,Black,Female
3192,71,Some-college,White,Female
3193,33,12th,Black,Female
3194,28,HS-grad,Black,Male
3195,30,HS-grad,White,Male
3196,20,5th-6th,White,Male
3197,51,HS-grad,White,Male
3198,39,HS-grad,White,Female
3199,62,Some-college,Asian-Pac-Islander,Male
3200,37,HS-grad,White,Male
3201,28,9th,White,Male
3202,23,HS-grad,Asian-Pac-Islander,Male
3203,39,Bachelors,White,Female
3204,50,Bachelors,White,Male
3205,31,7th-8th,White,Male
3206,45,Bachelors,White,Male
3207,23,Bachelors,Other,Male
3208,47,10th,White,Male
3209,59,HS-grad,White,Female
3210,32,Assoc-acdm,White,Male
3211,82,7th-8th,White,Male
3212,49,Bachelors,White,Male
3213,74,HS-grad,White,Male
3214,22,Some-college,White,Male
3215,32,Some-college,White,Male
3216,34,Bachelors,White,Male
3217,59,Bachelors,White,Male
3218,36,Bachelors,White,Male
3219,59,11th,White,Female
3220,47,Bachelors,White,Male
3221,53,HS-grad,White,Male
3222,25,Some-college,White,Male
3223,44,Bachelors,Black,Male
3224,57,Prof-school,White,Female
3225,42,Bachelors,White,Male
3226,58,10th,White,Male
3227,39,Bachelors,White,Male
3228,32,HS-grad,Black,Male
3229,45,7th-8th,White,Male
3230,47,Bachelors,Black,Female
3231,52,Some-college,White,Male
3232,56,1st-4th,White,Male
3233,52,HS-grad,White,Female
3234,34,HS-grad,Black,Female
3235,36,7th-8th,White,Male
3236,41,HS-grad,White,Male
3237,30,Some-college,White,Male
3238,44,Bachelors,Other,Male
3239,17,Some-college,Asian-Pac-Islander,Female
3240,34,Some-college,White,Female
3241,41,Some-college,Black,Male
3242,29,HS-grad,White,Male
3243,25,9th,White,Male
3244,42,Bachelors,White,Male
3245,48,Some-college,White,Male
3246,26,Assoc-voc,White,Male
3247,64,HS-grad,White,Female
3248,46,Bachelors,White,Male
3249,38,Bachelors,White,Male
3250,49,11th,White,Male
3251,23,Some-college,Black,Female
3252,46,Bachelors,White,Female
3253,30,HS-grad,White,Male
3254,49,HS-grad,White,Male
3255,47,Assoc-voc,White,Male
3256,44,Bachelors,White,Male
3257,31,HS-grad,White,Male
3258,19,HS-grad,White,Male
3259,45,Assoc-acdm,White,Female
3260,34,Bachelors,White,Male
3261,26,HS-grad,White,Male
3262,38,HS-grad,White,Male
3263,31,Some-college,White,Female
3264,36,Assoc-acdm,White,Male
3265,31,Bachelors,White,Male
3266,30,Bachelors,White,Male
3267,37,HS-grad,White,Male
3268,30,Bachelors,Black,Male
3269,21,HS-grad,Black,Female
3270,73,10th,White,Female
3271,38,Masters,White,Male
3272,30,10th,White,Male
3273,33,HS-grad,White,Male
3274,52,Bachelors,White,Male
3275,58,Some-college,White,Female
3276,34,Masters,White,Female
3277,35,HS-grad,White,Male
3278,59,HS-grad,White,Male
3279,45,Bachelors,White,Female
3280,27,Some-college,White,Male
3281,31,Doctorate,White,Male
3282,45,Some-college,White,Male
3283,40,HS-grad,White,Female
3284,27,Prof-school,White,Male
3285,19,HS-grad,White,Male
3286,29,5th-6th,White,Male
3287,34,Some-college,White,Male
3288,32,Assoc-acdm,White,Male
3289,49,11th,White,Male
3290,33,11th,White,Female
3291,74,7th-8th,White,Male
3292,62,Bachelors,White,Male
3293,39,HS-grad,White,Male
3294,43,HS-grad,White,Female
3295,22,Some-college,White,Female
3296,24,HS-grad,White,Male
3297,76,HS-grad,White,Male
3298,25,Some-college,Black,Female
3299,19,Some-college,White,Female
3300,31,Assoc-acdm,White,Female
3301,53,11th,White,Female
3302,61,HS-grad,White,Male
3303,47,Bachelors,White,Male
3304,37,HS-grad,White,Female
3305,50,Bachelors,White,Male
3306,27,Some-college,White,Male
3307,58,HS-grad,White,Female
3308,43,HS-grad,Black,Male
3309,39,Assoc-acdm,White,Male
3310,36,Some-college,White,Female
3311,56,Bachelors,White,Male
3312,26,HS-grad,White,Male
3313,23,Bachelors,White,Female
3314,47,11th,Black,Male
3315,68,12th,White,Female
3316,47,Some-college,Black,Male
3317,45,Some-college,White,Male
3318,26,Some-college,White,Male
3319,20,HS-grad,White,Male
3320,46,Some-college,White,Female
3321,37,Assoc-acdm,White,Male
3322,37,Some-college,White,Male
3323,43,Some-college,White,Male
3324,59,Masters,White,Female
3325,39,HS-grad,White,Female
3326,32,Some-college,White,Female
3327,63,Some-college,White,Male
3328,45,Bachelors,White,Male
3329,59,Bachelors,White,Female
3330,36,12th,White,Male
3331,26,HS-grad,White,Male
3332,34,HS-grad,White,Female
3333,41,HS-grad,White,Male
3334,26,HS-grad,Black,Male
3335,53,HS-grad,White,Female
3336,33,HS-grad,White,Female
3337,46,Bachelors,White,Male
3338,79,HS-grad,Black,Female
3339,31,HS-grad,White,Female
3340,24,HS-grad,White,Male
3341,57,HS-grad,White,Female
3342,40,HS-grad,White,Female
3343,41,Assoc-voc,Other,Male
3344,20,Some-college,White,Male
3345,45,11th,Black,Female
3346,27,Assoc-voc,White,Female
3347,36,5th-6th,White,Male
3348,30,HS-grad,White,Male
3349,36,Bachelors,White,Female
3350,25,HS-grad,Other,Male
3351,30,Some-college,White,Female
3352,31,HS-grad,White,Female
3353,49,HS-grad,White,Male
3354,26,11th,White,Male
3355,25,Bachelors,White,Male
3356,29,Assoc-voc,White,Female
3357,24,Some-college,White,Female
3358,41,HS-grad,White,Male
3359,35,Masters,White,Male
3360,57,Bachelors,White,Female
3361,21,11th,White,Female
3362,29,10th,Black,Female
3363,36,Some-college,White,Male
3364,20,Some-college,White,Female
3365,51,Bachelors,White,Male
3366,39,11th,White,Male
3367,36,Bachelors,White,Male
3368,40,Prof-school,White,Male
3369,61,HS-grad,White,Male
3370,38,Prof-school,White,Male
3371,20,Some-college,White,Male
3372,21,HS-grad,White,Female
3373,40,HS-grad,White,Female
3374,46,10th,White,Male
3375,21,Some-college,White,Male
3376,35,10th,Black,Male
3377,39,Bachelors,White,Male
3378,38,HS-grad,White,Male
3379,30,HS-grad,White,Female
3380,28,9th,Other,Male
3381,32,Bachelors,White,Male
3382,46,Assoc-voc,White,Male
3383,40,Assoc-voc,White,Male
3384,47,HS-grad,Black,Female
3385,44,10th,White,Male
3386,38,HS-grad,White,Male
3387,51,HS-grad,White,Male
3388,46,Bachelors,White,Male
3389,51,Doctorate,White,Male
3390,45,Doctorate,White,Male
3391,20,Some-college,White,Female
3392,44,Bachelors,White,Male
3393,33,Assoc-voc,White,Male
3394,18,HS-grad,White,Female
3395,61,Prof-school,White,Male
3396,50,Bachelors,White,Female
3397,47,HS-grad,Black,Male
3398,34,Bachelors,White,Male
3399,53,HS-grad,Black,Male
3400,39,Some-college,White,Male
3401,58,HS-grad,White,Male
3402,66,HS-grad,Black,Male
3403,26,11th,White,Male
3404,41,5th-6th,White,Male
3405,47,Some-college,White,Male
3406,31,Assoc-voc,Amer-Indian-Eskimo,Male
3407,52,Some-college,White,Male
3408,29,Assoc-acdm,White,Male
3409,43,9th,Black,Female
3410,42,Masters,White,Male
3411,35,Some-college,Black,Female
3412,41,HS-grad,White,Male
3413,34,Bachelors,White,Male
3414,52,Some-college,White,Male
3415,61,Some-college,White,Male
3416,39,HS-grad,White,Male
3417,19,Some-college,White,Female
3418,46,Bachelors,White,Male
3419,39,Some-college,White,Male
3420,22,Some-college,White,Male
3421,30,HS-grad,White,Female
3422,40,Assoc-voc,White,Female
3423,43,Bachelors,White,Male
3424,37,5th-6th,White,Male
3425,23,Assoc-acdm,White,Male
3426,39,Assoc-acdm,White,Male
3427,54,Masters,White,Male
3428,46,Some-college,White,Male
3429,20,Some-college,White,Female
3430,50,Bachelors,White,Female
3431,17,10th,White,Female
3432,36,HS-grad,White,Male
3433,37,HS-grad,White,Male
3434,53,HS-grad,White,Female
3435,50,HS-grad,White,Male
3436,38,HS-grad,White,Male
3437,63,HS-grad,White,Male
3438,53,HS-grad,White,Male
3439,40,Bachelors,White,Female
3440,23,Some-college,White,Male
3441,20,HS-grad,White,Male
3442,46,Some-college,Black,Male
3443,28,10th,Amer-Indian-Eskimo,Male
3444,59,Masters,White,Male
3445,41,Bachelors,White,Male
3446,33,Preschool,White,Male
3447,56,12th,White,Male
3448,50,HS-grad,White,Male
3449,31,Bachelors,White,Female
3450,41,Assoc-voc,White,Male
3451,38,Bachelors,White,Female
3452,25,Assoc-acdm,White,Female
3453,18,HS-grad,Other,Female
3454,49,Bachelors,Black,Female
3455,39,Some-college,White,Male
3456,22,Some-college,White,Female
3457,21,Some-college,White,Female
3458,35,Bachelors,White,Male
3459,21,HS-grad,White,Female
3460,38,HS-grad,White,Male
3461,55,7th-8th,White,Female
3462,31,HS-grad,White,Male
3463,17,11th,White,Male
3464,31,Bachelors,White,Male
3465,25,Bachelors,White,Male
3466,39,Masters,White,Male
3467,50,7th-8th,White,Male
3468,38,Bachelors,White,Female
3469,50,Some-college,White,Male
3470,63,10th,White,Male
3471,31,HS-grad,White,Male
3472,23,Bachelors,White,Female
3473,18,Some-college,White,Male
3474,43,Bachelors,White,Female
3475,34,Some-college,White,Male
3476,18,11th,White,Male
3477,46,HS-grad,Black,Male
3478,35,Bachelors,White,Female
3479,46,Masters,White,Female
3480,59,Assoc-voc,White,Male
3481,31,7th-8th,White,Female
3482,27,HS-grad,White,Female
3483,41,Masters,White,Male
3484,42,HS-grad,Black,Male
3485,55,Bachelors,White,Male
3486,34,HS-grad,Black,Female
3487,44,HS-grad,White,Female
3488,26,Bachelors,White,Female
3489,36,Assoc-voc,White,Female
3490,69,9th,White,Male
3491,33,Some-college,White,Female
3492,30,Assoc-voc,White,Male
3493,35,HS-grad,White,Female
3494,25,Bachelors,White,Female
3495,21,Some-college,Black,Male
3496,18,11th,Black,Male
3497,35,Some-college,White,Male
3498,20,HS-grad,White,Male
3499,26,Masters,White,Male
3500,46,Bachelors,White,Male
3501,31,Bachelors,White,Female
3502,40,Prof-school,White,Male
3503,40,HS-grad,White,Female
3504,31,Bachelors,White,Female
3505,32,Doctorate,White,Male
3506,23,Some-college,White,Male
3507,25,Masters,White,Male
3508,37,Some-college,White,Male
3509,18,Some-college,White,Female
3510,55,HS-grad,White,Female
3511,52,9th,White,Female
3512,26,HS-grad,White,Female
3513,37,Some-college,White,Male
3514,39,HS-grad,White,Female
3515,62,Bachelors,White,Female
3516,19,Some-college,White,Female
3517,47,HS-grad,White,Male
3518,51,Bachelors,White,Male
3519,55,HS-grad,White,Female
3520,30,HS-grad,White,Male
3521,59,Some-college,White,Male
3522,45,10th,White,Male
3523,52,Some-college,White,Male
3524,21,HS-grad,White,Male
3525,31,HS-grad,White,Male
3526,29,Some-college,Black,Male
3527,24,HS-grad,White,Male
3528,17,10th,White,Male
3529,47,HS-grad,Black,Female
3530,46,Some-college,White,Male
3531,32,HS-grad,White,Female
3532,34,10th,White,Male
3533,63,12th,White,Male
3534,21,Some-college,White,Male
3535,18,HS-grad,Black,Male
3536,49,Doctorate,White,Male
3537,81,HS-grad,White,Female
3538,36,Assoc-acdm,White,Male
3539,47,HS-grad,White,Male
3540,36,Masters,White,Male
3541,39,Assoc-voc,White,Male
3542,46,Bachelors,White,Female
3543,43,Some-college,White,Female
3544,39,Bachelors,White,Female
3545,29,Some-college,White,Female
3546,23,HS-grad,Black,Female
3547,57,10th,White,Male
3548,38,HS-grad,Black,Female
3549,25,Bachelors,White,Female
3550,39,Some-college,White,Male
3551,24,Some-college,Black,Male
3552,56,Masters,White,Male
3553,39,12th,White,Female
3554,23,Assoc-voc,White,Female
3555,17,11th,Other,Female
3556,67,HS-grad,White,Female
3557,41,Bachelors,Asian-Pac-Islander,Male
3558,24,Bachelors,White,Female
3559,51,Bachelors,Black,Male
3560,30,HS-grad,White,Female
3561,47,HS-grad,White,Male
3562,56,HS-grad,White,Male
3563,51,HS-grad,White,Male
3564,57,Some-college,White,Male
3565,34,Some-college,White,Female
3566,24,Bachelors,White,Male
3567,57,HS-grad,White,Male
3568,38,HS-grad,White,Male
3569,23,HS-grad,White,Female
3570,35,7th-8th,White,Male
3571,58,HS-grad,White,Male
3572,19,HS-grad,White,Female
3573,19,7th-8th,White,Male
3574,68,Doctorate,White,Male
3575,43,Some-college,White,Male
3576,17,11th,White,Female
3577,53,Doctorate,White,Male
3578,37,Doctorate,Black,Male
3579,21,Bachelors,Asian-Pac-Islander,Male
3580,63,HS-grad,White,Male
3581,31,Some-college,White,Male
3582,29,HS-grad,White,Male
3583,43,Some-college,White,Male
3584,27,Prof-school,White,Female
3585,25,HS-grad,White,Male
3586,28,HS-grad,White,Female
3587,54,HS-grad,White,Female
3588,74,Some-college,White,Female
3589,31,Some-college,Amer-Indian-Eskimo,Female
3590,23,Some-college,White,Male
3591,19,Bachelors,White,Female
3592,39,Preschool,White,Female
3593,61,HS-grad,White,Female
3594,59,HS-grad,White,Female
3595,27,Assoc-voc,White,Female
3596,19,Some-college,Black,Female
3597,23,HS-grad,White,Male
3598,25,HS-grad,Amer-Indian-Eskimo,Female
3599,40,Some-college,White,Male
3600,53,11th,White,Female
3601,32,Bachelors,White,Male
3602,72,Doctorate,White,Male
3603,61,7th-8th,White,Male
3604,42,HS-grad,White,Male
3605,17,10th,Amer-Indian-Eskimo,Female
3606,73,HS-grad,White,Male
3607,41,Some-college,White,Male
3608,23,Some-college,Black,Female
3609,23,HS-grad,White,Female
3610,65,Assoc-voc,White,Male
3611,45,HS-grad,White,Female
3612,52,Bachelors,Black,Male
3613,24,Bachelors,Black,Female
3614,23,Assoc-voc,White,Male
3615,30,Some-college,White,Female
3616,26,Bachelors,White,Male
3617,37,HS-grad,White,Male
3618,17,HS-grad,White,Male
3619,31,HS-grad,White,Male
3620,52,HS-grad,White,Female
3621,63,Bachelors,White,Male
3622,27,HS-grad,White,Female
3623,31,9th,White,Male
3624,71,HS-grad,White,Female
3625,35,Bachelors,White,Male
3626,44,HS-grad,White,Female
3627,36,Masters,Asian-Pac-Islander,Male
3628,22,Bachelors,White,Female
3629,32,HS-grad,White,Male
